area,rooms,bathroom,parking_spaces,floor,rent_amount,property_tax,total,acept,not acept,furnished,not furnished
70,2,1,1,7,3300,211,5618,1,0,1,0
320,4,4,0,20,4960,1750,7973,1,0,0,1
80,1,1,1,6,2800,0,3841,1,0,0,1
51,2,1,0,2,1112,22,1421,1,0,0,1
25,1,1,0,1,800,25,836,0,1,0,1
376,3,3,7,1,8000,834,8955,1,0,0,1
72,2,1,0,7,1900,85,2750,1,0,0,1
213,4,4,4,4,3223,1735,7253,1,0,0,1
152,2,2,1,3,15000,250,16440,1,0,1,0
35,1,1,0,2,2300,35,2955,1,0,1,0
26,1,1,0,2,2100,150,2747,1,0,1,0
46,1,1,1,10,580,43,1181,1,0,0,1
36,1,1,0,11,2100,70,2556,1,0,0,1
55,1,1,1,2,4200,224,5268,1,0,1,0
100,2,2,2,24,4370,17,5343,1,0,1,0
330,4,6,6,1,8000,328,9129,1,0,1,0
110,2,2,1,1,3000,122,3861,1,0,0,1
88,2,3,1,9,3500,221,5351,0,1,1,0
56,2,1,0,8,1220,0,2036,1,0,0,1
600,4,5,6,1,12000,9500,21680,1,0,0,1
100,7,4,0,1,3800,118,3976,1,0,0,1
42,1,1,1,17,2690,172,3368,0,1,1,0
160,3,2,2,18,1900,167,3622,1,0,1,0
35,1,1,0,1,1100,3,1117,1,0,0,1
90,3,2,1,7,1800,118,2742,1,0,0,1
49,1,1,1,10,3500,42,4067,1,0,0,1
41,1,1,1,5,3000,0,3639,0,1,1,0
64,2,2,1,11,1500,80,1952,1,0,0,1
208,3,2,4,1,3180,100,3328,1,0,0,1
20,1,1,0,5,1800,130,2555,1,0,1,0
55,2,2,2,6,1068,142,2004,1,0,0,1
32,1,1,0,3,1700,29,2266,1,0,0,1
80,2,2,1,11,2550,216,4007,1,0,0,1
45,1,1,1,10,2500,593,5576,1,0,1,0
350,4,4,3,8,4000,500,6651,1,0,0,1
38,1,1,2,11,1750,0,2226,0,1,0,1
30,1,1,0,1,1600,0,2081,1,0,0,1
80,3,2,1,1,11000,425,11610,1,0,0,1
70,2,1,0,1,1150,59,1227,0,1,0,1
40,1,1,1,6,2990,0,3424,1,0,1,0
300,4,6,4,20,12000,1584,17440,1,0,0,1
240,3,2,3,1,3500,292,3845,1,0,0,1
200,4,2,1,7,2550,9,3443,0,1,0,1
45,1,1,1,5,1631,192,2335,1,0,0,1
360,4,5,0,1,6410,2000,12490,1,0,0,1
40,1,1,1,10,2829,0,3840,1,0,1,0
100,3,1,0,13,1220,10,1947,0,1,0,1
42,1,1,2,2,1770,17,2003,1,0,1,0
250,3,3,2,1,1700,256,4178,1,0,0,1
48,1,1,1,2,1600,59,2185,1,0,1,0
90,3,3,1,10,3800,147,5246,1,0,0,1
45,1,2,1,15,3900,150,4956,1,0,1,0
150,2,3,4,6,4000,700,6452,1,0,0,1
60,2,1,0,2,1445,0,1664,1,0,0,1
31,1,1,0,4,2350,56,2806,1,0,0,1
210,4,5,4,4,9000,772,11540,0,1,0,1
280,3,1,2,1,6000,113,6204,1,0,0,1
93,2,3,2,9,5500,133,6366,1,0,0,1
75,3,2,1,9,1800,109,2276,1,0,0,1
194,3,4,3,1,4000,70,4131,1,0,0,1
41,1,1,1,6,4000,131,4705,1,0,1,0
65,1,1,1,8,5100,250,7416,1,0,1,0
70,2,1,1,13,2150,67,3006,1,0,0,1
278,4,5,2,16,9000,1261,14430,1,0,1,0
35,1,1,0,5,1521,21,1868,1,0,0,1
300,4,4,3,2,6000,417,8794,1,0,0,1
61,2,1,1,4,1850,0,2333,1,0,0,1
130,3,2,1,7,1700,475,3857,1,0,0,1
80,2,1,1,20,900,90,1502,1,0,0,1
164,4,4,2,6,5000,386,7609,0,1,0,1
220,4,2,3,3,2422,125,3030,1,0,0,1
45,1,1,0,1,1050,46,1112,1,0,0,1
108,3,2,2,7,5600,435,7396,1,0,0,1
128,1,1,0,4,2100,182,2728,1,0,1,0
60,1,1,0,10,1800,48,2322,0,1,0,1
250,4,5,4,6,9800,998,12970,1,0,0,1
47,1,1,1,1,2200,0,2633,0,1,1,0
170,4,3,4,9,2700,296,3776,0,1,0,1
45,1,1,0,1,1240,0,1556,0,1,0,1
42,1,1,1,15,3500,123,4354,1,0,0,1
164,4,4,3,1,6000,550,8467,1,0,0,1
70,3,1,1,1,1020,200,1933,1,0,0,1
100,4,3,1,8,2200,159,2992,1,0,0,1
64,2,2,2,4,4500,440,6298,1,0,1,0
68,2,1,1,3,1200,27,1563,1,0,0,1
75,2,2,2,14,2500,264,3418,0,1,0,1
600,4,4,4,9,8500,3368,19380,1,0,0,1
63,2,2,0,15,1550,152,2312,0,1,0,1
145,3,4,3,1,6000,750,8027,0,1,0,1
85,2,2,2,3,2800,292,4628,0,1,0,1
254,4,4,4,7,9000,1800,14280,1,0,0,1
350,4,4,4,1,9000,359,9520,1,0,1,0
300,4,4,3,1,3500,584,4137,1,0,0,1
296,4,3,2,1,13500,423,14150,1,0,0,1
64,2,2,2,8,2800,30,3316,1,0,0,1
133,3,2,0,6,2957,38,3846,1,0,0,1
44,1,1,0,7,550,12,919,1,0,0,1
240,3,4,2,1,3000,250,3296,1,0,0,1
70,3,2,1,4,2500,8,3035,1,0,0,1
22,1,1,0,26,2050,45,2423,1,0,0,1
50,1,1,1,1,950,50,1364,1,0,0,1
67,3,2,2,4,2200,50,2883,1,0,0,1
31,1,1,0,6,2300,0,2760,1,0,1,0
90,2,1,1,1,3468,191,4554,1,0,1,0
109,3,3,1,1,3800,300,6149,1,0,0,1
